,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
2239,-1.09,0.2,0.68,15.35,-0.16,12.47,-2.59,-4.17,0.28,-0.12,2015,4
2240,1.36,-0.6,-0.6,-8.28,2.44,0.34,-0.15,5.09,-0.74,0.34,2015,5
2241,0.2,-2.35,-1.45,-8.53,-1.25,-1.78,0.14,2.57,-5.14,1.29,2015,6
2242,-0.66,-3.34,-6.1,-21.19,-3.95,-1.47,-1.78,-0.47,2.95,-1.33,2015,7
2243,-3.63,-4.32,-4.31,4.9,-5.65,-5.47,-4.89,-7.17,-3.4,-4.02,2015,8
2244,-3.92,-6.53,-8.54,-18.21,-3.39,-1.1,-5.67,-11.47,1.13,-2.7,2015,9
2245,4.87,7.45,7.93,8.44,5.9,6.41,3.29,2.88,3.2,4.86,2015,10
2246,-0.58,2.83,-0.58,-2.84,2.98,-2.47,-0.97,10.23,-1.99,2.12,2015,11
2247,-1.88,-5.3,-4.85,-18.06,-3.62,-4.12,-3.8,-5.78,0.16,-4.09,2015,12
2248,-2.02,-11.81,-9.02,-12.65,-8.63,-6.2,-7.11,-18.65,4.4,-7.69,2016,1
2249,1.85,4.92,3.74,-10.85,0.74,1.84,3.82,-2.9,1.07,0.3,2016,2
2250,4.52,7.4,10.44,24.2,6.8,4.49,7.8,7.71,8.06,7.52,2016,3
2251,1.93,1.05,5.34,20.51,1.1,2.79,-0.19,5.17,2.68,3.56,2016,4
2252,-0.87,-0.97,-0.85,-6.34,3.67,0.01,-3.33,1.41,2.39,1.14,2016,5
2253,3.91,-2.83,0.35,1.15,1.61,2.02,0.69,-4.51,7.45,-1.11,2016,6
2254,8.61,8.95,7.28,-1.06,7.36,2.26,4.57,6.26,-0.64,5.21,2016,7
2255,1.45,6.33,2.41,7.95,2.93,-0.31,0.42,0.9,-3.59,2.78,2016,8
2256,-2.14,5.9,0.69,5.09,2.0,0.99,-1.79,8.04,1.55,0.95,2016,9
2257,-4.23,-4.18,-4.19,-8.15,-5.24,-4.29,-4.14,-13.68,0.14,-2.26,2016,10
2258,3.56,10.59,11.64,18.53,5.0,6.02,9.36,5.31,1.7,12.76,2016,11
2259,1.06,2.35,0.83,2.19,0.28,4.1,2.17,-2.69,4.21,5.5,2016,12
2260,-0.51,-2.95,2.86,0.7,3.52,2.59,-2.81,4.74,0.23,0.81,2017,1
2261,1.65,-0.2,0.79,-6.82,2.3,0.5,-1.04,6.45,3.37,1.44,2017,2
2262,1.35,1.41,0.68,-4.92,1.78,0.74,0.41,2.31,1.66,-0.51,2017,3
2263,0.14,3.7,1.02,-7.1,1.71,7.13,1.76,-3.08,1.11,0.54,2017,4
2264,-0.74,0.43,-1.82,-7.27,2.14,-3.18,-3.84,-4.95,1.49,-2.62,2017,5
